chr01	3204563	3661579	457016	0.00015	Xkr4
chr01	4481009	4486494	5485	0.00034	Sox17
chr01	4764015	4775768	11753	0.12196	Mrpl15
chr01	4797971	4836815	38844	0.14648	Lypla1/Tcea1
chr01	4847775	4887990	40215	0.15804	Lypla1/Tcea1
chr01	4900050	5009460	109410	0.00032	Rgs20
chr01	5073254	5152630	79376	0.04187	Atp6v1h
chr01	5903788	5907479	3691	0.00014	Npbwr1
chr01	6204743	6266179	61436	0.02527	Rb1cc1
chr01	6720132	6851021	130889	0.00014	St18
chr01	7079001	7163709	84708	0.07595	Pcmtd1
chr01	9535489	9537535	2046	0.06927	Rrs1
chr01	9538127	9568049	29922	0.00454	Adhfe1
chr01	9658912	9690290	31378	0.02642	Mybl1
chr01	9713273	9738463	25190	0.03835	Vcpip1
chr01	9838362	9892651	54289	0.01341	Sgk3
chr01	9898719	9931035	32316	0.00036	6030422M02Rik
chr01	9932106	9934199	2093	0.06212	Snhg6
chr01	9958705	9999201	40496	0.00037	Lrrc67
chr01	10014911	10027979	13068	0.08525	Cops5
chr01	10028299	10126849	98550	0.02502	Cspp1
chr01	10127588	10222751	95163	0.02247	Arfgef1
chr01	10314801	10710026	395225	0.00021	Cpa6
chr01	10983546	11293763	310217	0.00762	Prex2
chr01	11404186	11591902	187716	0.00421	A830018L16Rik
chr01	12708626	12850453	141827	0.03704	Sulf1
chr01	12856630	12981216	124586	0.00272	Slco5a1
chr01	13103509	13117244	13735	0.02272	Prdm14
chr01	13129240	13364164	234924	0.02349	Ncoa2
chr01	13554783	13579945	25162	0.08244	Tram1
chr01	13615979	13650590	34611	0.081	Lactb2
chr01	13775766	13777010	1244	0.00021	Gm5523
chr01	14159035	14300281	141246	0.00169	Eya1
chr01	14743427	14746047	2620	0.02429	Msc
chr01	14862729	14908943	46214	0.00104	Trpa1
chr01	15302533	15704295	401762	0.00017	Kcnb2
chr01	15795739	15833510	37771	0.14276	Terf1
chr01	15843943	15882803	38860	0.00837	Gm106
chr01	16091376	16094514	3138	2.2548	Rpl7
chr01	16095963	16122631	26668	0.00699	Rdh10
chr01	16218891	16509383	290492	0.00281	Stau2
chr01	16559487	16609367	49880	0.0137	Ube2w
chr01	16632846	16646946	14100	0.07013	Tceb1
chr01	16655272	16668356	13084	0.01288	Tmem70
chr01	16678537	16699686	21149	0	Ly96
chr01	16987545	17087879	100334	0.00342	Jph1
chr01	17135454	17154352	18898	0.00065	Gdap1
